name;WKT
29 KARATAY BELEDÝYESÝ GÝRÝÞÝ;POINT Z (32.50266615504097 37.86652804318629 0)
30 BUÐDAY PAZARI;POINT Z (32.50078873382672 37.86764998469578 0)
31 A AZÝZÝYE CAMÝÝ;POINT Z (32.50149044371637 37.87002732591852 0)
31 B AZÝZÝYE CAMÝÝ;POINT Z (32.50143838501032 37.87012211060082 0)
32 KAYALI PARK HACI HASAN CAMÝ;POINT Z (32.49815208138494 37.87104496262562 0)
33 ÞERAFETTÝN CAMÝÝ;POINT Z (32.49888580694335 37.87218303889764 0)
34 ÝÞ BANKASI ARKA SKAK;POINT Z (32.49465972877705 37.87218754063718 0)
35 TAHÝR PAÞA CAMÝ;POINT Z (32.49128931814587 37.86994310594483 0)
36 BELEDÝYE ÝÞ HANI;POINT Z (32.4881867549941 37.87683976313289 0)
37 BELEDÝYE ÝÞ HANI YANI KOSKÝ;POINT Z (32.48856621683407 37.87689081297689 0)
38 OTEL BERA;POINT Z (32.48303686075474 37.87750085663842 0)
39 MALÝYE;POINT Z (32.48518569877668 37.87558938462282 0)
40 A HAZIM ULUÞAHÝN ÖN TARAF;POINT Z (32.48380512578692 37.87695844923937 0)
40 B HAZIM ULUÞAHÝN ÖN TARAF;POINT Z (32.48472198048234 37.87742569125906 0)
41 ENTEPE ALIÞVERÝÞ MERKEZÝ;POINT Z (32.49925408062857 37.88663126838174 0)
42 YHT GARI;POINT Z (32.49942007647063 37.8975597348764 0)
