BolgeAdi;BolgeAdresi;BolgeKapasite;PeronAdi;PeronAdres;peronKapasite;PeronKoordinat;PeronAcilisSaati;PeronKapanisSaati;
BEREKETOÐLU SOKAK;BEREKETOÐLU SOKAK;120;BEREKETOÐLU SOKAK.1;BEREKETOÐLU SOKAK.1;35;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
BEREKETOÐLU SOKAK;BEREKETOÐLU SOKAK;120;BEREKETOÐLU SOKAK.2;BEREKETOÐLU SOKAK.2;35;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
BEREKETOÐLU SOKAK;BEREKETOÐLU SOKAK;120;BEREKETOÐLU SOKAK.3;BEREKETOÐLU SOKAK.3;50;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
ULAÞBABA CAD. 1;ULAÞBABA CAD.;30;ULAÞBABA CAD.1;ULAÞBABA CAD.1;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
MAKRO AVM;MAKRO AVM;180;MAKRO AVM;MAKRO AVM;180;[[32.7478837966919, 39.8770403869553], [32.7476692199707, 39.8767357450676], [32.7474117279053, 39.8764146345857], [32.7473258972168, 39.8761346908878]];0;2400;
MÝMAR MUZAFFER AÇIK OTOPARKI;MÝMAR MUZAFFER AÇIK OTOPARKI;100;MÝMAR MUZAFFER AÇIK OTOPARKI;MÝMAR MUZAFFER AÇIK OTOPARKI;100;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
TOPTANCILAR;KULE SÝTE ARKASI;60;TOPTANCILAR KULE SÝTE;GÖKLER SOKAK;60;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];700;2000;
ÞERAFETTÝN BÖLGE-3;ÞERAFETTÝN BÖLGE-3;72;ÞERAFETTÝN CAD.1;ÞERAFETTÝN CAD.;17;[[32.4967485666275, 37.87300716207401], [32.496185302734375, 37.87314266687338]];800;1900;
ÞERAFETTÝN BÖLGE-3;ÞERAFETTÝN BÖLGE-3;72;ÞERAFETTÝN CAD.2;ÞERAFETTÝN CAD.;19;[[32.5004768371582, 37.87346872427551], [32.49986529350281, 37.87323582627839]];800;1900;
ÞERAFETTÝN BÖLGE-3;ÞERAFETTÝN BÖLGE-3;72;ÞERAFETTÝN CAD.5;ÞERAFETTÝN CAD.;23;[[32.4964535236359, 37.8729605822416], [32.4963623285294, 37.8723931528284]];800;2000;
ÞERAFETTÝN BÖLGE-3;ÞERAFETTÝN BÖLGE-3;72;ÞERAFETTÝN CAD.-8;ÞERAFETTÝN CAD.-8;13;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
ULAÞBABA CAD. 2;ULAÞBABA CAD. 2;90;ULAÞBABA CAD.2;ULAÞBABA CAD.2;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
ULAÞBABA CAD. 2;ULAÞBABA CAD. 2;90;ULAÞBABA CAD..-3;ULAÞBABA CAD..-3;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
ULAÞBABA CAD. 2;ULAÞBABA CAD. 2;90;ULAÞBABA CAD. 4;ULAÞBABA CAD;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
